Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Projection,Category,Date Submitted,ETA,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0000272,TLM WG Examples,tlmwg_reporter,,normal,major,always,,none,bugs,02-26-08,none,,,,public,02-26-08,protocol violation in lt_target in lt_temporal_decoupling example,new,open,
0000106,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,none,bugs,01-31-08,none,,,,public,02-21-08,at_example AT target issues,acknowledged,open,
0000105,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,none,bugs,01-31-08,none,,,,public,02-21-08,at_example initiator issues,acknowledged,open,
0000096,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,none,bugs,01-31-08,none,,,,public,02-21-08,lt_direct_memory_interface lt_initiator_direct_memory_interface.cpp issues,acknowledged,reopened,
0000120,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,major rework,general,01-31-08,< 1 week,,,,public,02-21-08,multiple copies and versions of files,resolved,no change required,
0000238,TLM WG Examples,tlmwg_eslx,tlmwg_eslx,normal,minor,always,,tweak,bugs,02-19-08,< 1 day,,,,public,02-21-08,lt_temporal decoupling initiator issues (4),resolved,no change required,
0000237,TLM WG Examples,tlmwg_eslx,tlmwg_eslx,normal,minor,always,,tweak,bugs,02-19-08,< 1 day,,,,public,02-21-08,lt_temporal decoupling initiator issues (3),resolved,no change required,
0000230,TLM WG Examples,charles_w,tlmwg_eslx,normal,minor,always,,none,bugs,02-12-08,none,,,,public,02-19-08,lt_direct_memory_interface lt_target.cpp issues (d),acknowledged,open,
0000110,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,low,minor,always,,minor fix,coding style,01-31-08,< 1 day,,,,public,02-19-08,headers are not self-contained,resolved,fixed,
0000239,TLM WG Examples,tlmwg_eslx,tlmwg_eslx,normal,minor,always,,tweak,bugs,02-19-08,< 1 day,,,,public,02-19-08,lt_temporal decoupling initiator issues (5),resolved,fixed,
0000136,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,minor fix,bugs,01-31-08,< 1 day,,,,public,02-19-08,lt_temporal decoupling initiator issues (1),resolved,fixed,
0000235,TLM WG Examples,tlmwg_eslx,tlmwg_eslx,normal,minor,always,,none,documentation,02-18-08,none,,,,public,02-18-08,lt_direct_memory_interface PowerPoint issues (4),resolved,no change required,
0000094,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,none,documentation,01-31-08,none,,,,public,02-18-08,lt_direct_memory_interface PowerPoint issues (1),resolved,no change required,
0000092,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,minor fix,bugs,01-30-08,2-3 days,,,,public,02-18-08,Targets in examples not following rules for Standard Error Response,resolved,fixed,
0000069,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,minor,always,,minor fix,bugs,01-10-08,< 1 day,,,,public,02-14-08,TLM2 example error,resolved,fixed,
