Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Projection,Category,Date Submitted,ETA,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0000267,TLM WG,tlmwg_reporter,,normal,minor,always,,none,general,02-20-08,none,,,,public,02-20-08,"LT Initiator, Interconnect and Target",new,open,
0000199,TLM WG,tlmwg_reporter,,normal,minor,always,,none,coding style,02-11-08,none,,,,public,02-20-08,rules for LT and AT models,new,open,
0000266,TLM WG Analysis Ports,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,IFX 4 analysis / debug are too basic and restrict usability,new,open,
0000265,TLM WG Generic Payload,tlmwg_reporter,,normal,minor,always,,none,endian,02-20-08,none,,,,public,02-20-08,IFX 3 endianness is too complex,new,open,
0000264,TLM WG Sockets,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,IFX 2 multiport issues,new,open,
0000263,TLM WG Generic Payload,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,IFX 1 GP interoperability,new,open,
0000262,TLM WG,tlmwg_reporter,,normal,minor,always,,none,documentation,02-20-08,none,,,,public,02-20-08,ARM 13.2 slide 53,new,open,
0000261,TLM WG,tlmwg_reporter,,normal,minor,always,,none,documentation,02-20-08,none,,,,public,02-20-08,ARM 13.1 slide 71,new,open,
0000260,TLM WG,tlmwg_reporter,,normal,minor,always,,none,documentation,02-20-08,none,,,,public,02-20-08,ARM 12 reference,new,open,
0000259,TLM WG,tlmwg_reporter,,normal,minor,always,,none,documentation,02-20-08,none,,,,public,02-20-08,ARM 11 documentation,new,open,
0000258,TLM WG,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 10.4 atomic transactions,new,open,
0000257,TLM WG,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 10.3 atomic transactions rollback,new,open,
0000256,TLM WG,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 10.1-2 Atomic transactions,new,open,
0000255,TLM WG Blocking Transport,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 9.2 Quantum Keeper Synchronization flag/status for b_transport(),new,open,
0000254,TLM WG,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 9.1 Quantum Keeper System-wide sync(),new,open,
0000253,TLM WG Debug Transaction,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 8.3 Use TRANS& trans as parameter,new,open,
0000252,TLM WG DMI,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 8.2 protocol extension required to implement DMI/debug correctly,new,open,
0000251,TLM WG DMI,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 8.1 DMI Address not the only attribute to be taken into account,new,open,
0000250,TLM WG Sockets,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 6.2 need default implementations,new,open,
0000249,TLM WG Sockets,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 6.1 BUSWIDTH at interface level,new,open,
0000248,TLM WG,tlmwg_reporter,,normal,major,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 5.1 Can't discriminate/distinguish between incoming paths,new,open,
0000247,TLM WG Generic Payload,tlmwg_reporter,,normal,minor,always,,none,endian,02-20-08,none,,,,public,02-20-08,ARM 4.7 Generic payload should be endianness neutral/un-aware,new,open,
0000246,TLM WG Generic Payload,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 4.6 void * instead of unsigned char *,new,open,
0000245,TLM WG Generic Payload,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 4.5 More than one way of transferring one byte at unaligned address,new,open,
0000244,TLM WG Generic Payload,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 4.4 Missing helpers to initialize data in case of sub-word access,new,open,
0000243,TLM WG Generic Payload,tlmwg_reporter,,normal,minor,always,,none,bugs,02-20-08,none,,,,public,02-20-08,ARM 4.3 Missing helpers to initialize byte enables in case of sub-word access,new,open,
0000242,TLM WG Generic Payload,tlmwg_reporter,,normal,major,always,,none,endian,02-20-08,none,,,,public,02-20-08,ARM 4.2 Data serializers should handle endianness,new,open,
0000241,TLM WG Generic Payload,tlmwg_reporter,,normal,feature,always,,none,general,02-20-08,none,,,,public,02-20-08,ARM 4.1 streaming_width to data_width,new,open,
0000240,TLM WG Blocking Transport,tlmwg_reporter,,normal,feature,always,,none,general,02-20-08,none,,,,public,02-20-08,ARM 3.4 blocking transport API enhancement/unification,new,open,
