0 s: reset
1 ns: 0
2 ns: 1
3 ns: 2
4 ns: 3
5 ns: 4
6 ns: 5
7 ns: 6
8 ns: 7
9 ns: 8
10 ns: 9
11 ns: 10
12 ns: 11
13 ns: reset
14 ns: 0
15 ns: 1
16 ns: 2
17 ns: 3
18 ns: 4
19 ns: 5
20 ns: 6
21 ns: 7
22 ns: 8
23 ns: 9
24 ns: 10
25 ns: 11
26 ns: 12
27 ns: 13
28 ns: 14
29 ns: 15
30 ns: 16
31 ns: 17
32 ns: 18
33 ns: reset
34 ns: 0
35 ns: 1
36 ns: 2
37 ns: 3
38 ns: 4
39 ns: 5
40 ns: 6
41 ns: 7
42 ns: 8
43 ns: 9
44 ns: 10
45 ns: 11
46 ns: 12
47 ns: 13
48 ns: 14
49 ns: 15
50 ns: 16
51 ns: 17
52 ns: 18
53 ns: reset
54 ns: 0
55 ns: 1
56 ns: 2
57 ns: 3
58 ns: 4
59 ns: 5
60 ns: 6
61 ns: 7
62 ns: 8
63 ns: 9
64 ns: 10
65 ns: 11
66 ns: 12
67 ns: 13
68 ns: 14
69 ns: 15
70 ns: 16
71 ns: 17
72 ns: 18
73 ns: reset
74 ns: 0
75 ns: 1
76 ns: 2
77 ns: 3
78 ns: 4
79 ns: 5
80 ns: 6
81 ns: 7
82 ns: 8
83 ns: 9
84 ns: 10
85 ns: 11
86 ns: 12
87 ns: 13
88 ns: 14
89 ns: 15
90 ns: 16
91 ns: 17
92 ns: 18
93 ns: reset
94 ns: 0
95 ns: 1
96 ns: 2
97 ns: 3
98 ns: 4
99 ns: 5
100 ns: 6

Info: /OSCI/SystemC: Simulation stopped by user.
Done
